name,class,gal_l2,gal_b2,hard_hm,hard_hs
2CXO J102339.0-574450,YSO,7.895073421624818,4.976385120230799,8.350000000000017,10.0
2CXO J110922.7-763432,STAR,8.249794163538969,4.163619037265343,8.174999999999994,10.0
2CXO J003413.6-212618,AGN,2.42899612929342,0.35384532360174603,5.131250000000001,3.318749999999973
2CXO J064048.1+092700,STAR,5.647590712015322,5.105060687320927,0.0,0.0
2CXO J213708.2+573024,STAR,2.7533103472942573,5.2144478074738485,0.0,0.0
2CXO J110946.2-763446,STAR,8.250439192413294,4.163917413869803,3.1000000000000183,2.1687499999999846
2CXO J133003.7+471611,ULX,2.9126792848881182,8.821402635959819,0.0,0.0
2CXO J230319.6+584528,STAR,3.0360167445618,4.9274857701286745,3.5125000000000024,1.3124999999999742
2CXO J031939.9-192550,ULX,5.783177609179714,1.9101260729141687,4.287500000000018,4.031250000000004
2CXO J180421.8-241626,YSO,0.17053081768016787,4.925387469199361,3.543749999999996,2.043750000000011
2CXO J143244.2+350100,AGN,1.6453111303622552,8.738596731644911,5.249999999999997,5.3000000000000025
2CXO J174514.8-285957,YSO,9.997335634359468,4.997798013060971,10.0,8.074999999999994
2CXO J204214.5+745657,STAR,3.022774833161661,6.082081834071435,0.0,0.0
2CXO J064104.2+093533,STAR,5.644912790796192,5.11198401894683,8.8125,10.0
2CXO J202051.4+403030,YSO,2.1724204431147536,5.120056332340924,3.3312500000000105,1.6687499999999895
2CXO J064113.2+095509,STAR,5.6373027223035175,5.122145750686432,3.268749999999973,0.9750000000000149
2CXO J213315.7+575947,STAR,2.751875789299953,5.254125918279,3.7874999999999748,3.5500000000000145
2CXO J223548.1-255835,AGN,0.7578231216326402,1.6584953785704144,4.7375,3.1687499999999744
2CXO J203249.0+411348,YSO,2.225223755102605,5.040615139598743,0.0,0.0
2CXO J104528.4+583651,AGN,4.137568506088683,7.8825853145638565,6.57500000000001,3.7874999999999748
2CXO J181935.1-133238,YSO,0.479879315794837,5.037608301182384,5.843750000000023,6.537499999999998
2CXO J174540.1-290803,YSO,9.995469547853787,4.989468216467115,10.0,8.024999999999995
2CXO J140259.4+542042,HMXB,2.8357295707402708,8.336037754221364,0.0,0.0
2CXO J083632.7+552846,AGN,4.508890331780232,7.05142099832756,7.1750000000000025,7.637499999999987
2CXO J174545.6-290126,YSO,9.998374663903595,4.991720314586481,9.343749999999991,10.0
2CXO J104803.1+591946,AGN,4.103924476671611,7.869500598233639,5.662499999999981,3.7937499999999935
2CXO J174610.7-301256,YSO,9.971416534741444,4.9527523635633735,9.825000000000028,9.825000000000028
2CXO J164856.9-461050,STAR,9.430797976801006,4.94735510452762,3.1812500000000115,1.0750000000000144
2CXO J063139.9+050554,STAR,5.7260540398474244,4.8809576788456575,5.124999999999999,4.4500000000000055
2CXO J053444.4-052606,STAR,5.805277674527602,3.9050833909816745,1.7062500000000016,0.3812499999999899
2CXO J092633.6+362450,AGN,5.207996436927276,7.565251879630152,4.087500000000022,3.462500000000003
2CXO J124335.4+113241,STAR,8.216923635436848,9.146984527600447,4.868749999999999,4.3249999999999815
2CXO J111124.1-611810,STAR,8.089410668664803,4.9551411640888645,10.0,0.0
2CXO J053531.9-051619,STAR,5.803628671724298,3.919039941292266,6.181249999999982,6.731250000000028
2CXO J124206.1+323153,HMXB,3.969477109222197,9.701313454818402,7.168749999999987,7.881250000000016
2CXO J193459.5+302753,STAR,1.7990178638859244,5.272268120848056,10.0,0.0
2CXO J131026.0+612858,AGN,3.303622643936273,8.096139109530471,5.8312499999999865,3.5625000000000018
2CXO J171313.2+635608,AGN,2.6047424836177786,6.945319261011485,10.0,10.0
2CXO J232951.4+000942,AGN,2.330634600967711,1.845045448382496,5.187500000000001,3.6437499999999945
2CXO J075952.6+141359,AGN,5.76271426883648,6.194833554066474,6.518749999999992,7.281250000000021
2CXO J053518.3-045323,STAR,5.792858292303543,3.92591791028892,4.5687500000000005,5.318750000000003
2CXO J174502.5-285053,YSO,0.00024602819602571104,5.0043433600200045,7.706249999999992,0.0
2CXO J203341.6+412504,YSO,2.232134239072652,5.039455543422232,0.0,0.0
2CXO J064105.2+095316,STAR,5.637661167357319,5.119707509364282,2.256249999999996,0.7687499999999979
2CXO J203250.0+411029,YSO,2.2240353086378017,5.038631641875226,0.0,0.0
2CXO J003544.8-433119,AGN,8.690926246796844,0.900720142912392,4.624999999999999,2.637499999999985
2CXO J182432.8-131207,YSO,0.5040145512691817,4.987068019419004,0.0,0.0
2CXO J083953.0+562702,AGN,4.473719910879407,7.072223618544532,4.93125,3.2812500000000107
2CXO J004227.4+411452,CV,3.364351386064024,3.7895032663607,0.0,0.0
2CXO J111850.4+402553,AGN,4.782197018623821,8.723373435499061,5.6062500000000135,3.7062499999999816
2CXO J053504.1-052224,STAR,5.804749145851328,3.910726345637424,0.0,0.0
2CXO J005034.4-724748,STAR,8.417264281571503,2.5191642862924915,9.000000000000009,7.487499999999986
2CXO J030441.6-272523,AGN,6.147058838888914,1.6170949962170806,5.2875,2.95000000000002
2CXO J071826.4-245453,STAR,6.614385911122716,4.684092527026379,4.85625,2.9125000000000085
2CXO J174603.7-284926,PULSAR,0.004053006890111714,4.994402240377578,0.0,0.0
2CXO J032159.9-370508,AGN,6.665816526332541,1.8202733746449828,4.112499999999996,2.1687499999999846
2CXO J140514.4-611827,STAR,8.657559217850674,5.012813546130246,9.750000000000004,10.0
2CXO J053523.6-052626,STAR,5.807596706247735,3.9130528563456592,3.5374999999999766,2.1687499999999846
2CXO J171521.2+214531,AGN,1.2069806629782385,6.692111377321713,4.949999999999998,5.3000000000000025
2CXO J171928.6-360932,YSO,9.748496961333725,5.032897626769135,10.0,10.0
2CXO J104502.9+584713,AGN,4.133416721252871,7.873888706364516,5.168749999999998,3.481250000000009
2CXO J143335.3+022718,AGN,9.779004874308287,8.083356792106812,4.831250000000002,2.3562499999999957
2CXO J231446.9+043154,HMXB,2.301616496081378,2.165402090267498,7.5749999999999975,5.9750000000000165
2CXO J084400.0+023919,CV,6.2244765260545405,6.4555858239995905,5.243749999999999,4.61875
2CXO J053531.1-045415,STAR,5.793941627478546,3.9281865445391455,10.0,0.0
2CXO J095935.4+013100,AGN,6.594454766128659,7.316394394989063,4.124999999999984,3.7625
2CXO J181844.9-134630,YSO,0.4715456071830879,5.041518369881628,5.187500000000001,5.506250000000013
