name,Jmag,Hmag,Kmag
2CXO J181430.5-174722,13.441,12.835,12.675
2CXO J181634.8-162345,13.417,12.677,12.085
2CXO J181649.6-163104,7.447999999999999,7.386,7.35
2CXO J181700.0-162806,14.735,13.38,12.783
2CXO J181756.5-165202,14.199000000000002,13.238,12.658
2CXO J181758.5-165027,14.384,13.455,13.114
2CXO J181758.8-170243,14.728,13.39,13.14
2CXO J181759.0-165330,15.104,14.248,13.78
2CXO J181802.7-165313,13.637,13.138,13.021
2CXO J181804.2-165258,14.828,13.507,12.574000000000002
2CXO J181805.4-165339,14.119000000000002,12.758,12.165
2CXO J181806.1-165350,12.626,11.999,11.697
2CXO J181806.3-165106,15.245,14.017,13.407
2CXO J181806.5-165449,14.582,13.140999999999998,12.237
2CXO J181807.5-165259,18.223,14.458,11.693
2CXO J181808.0-165420,15.593,14.015,13.312
2CXO J181808.9-165252,15.13,13.923,13.226
2CXO J181809.0-165203,16.385,16.121,15.023
2CXO J181809.1-165401,15.966,14.242,13.54
2CXO J181809.5-165009,18.326,17.272000000000002,13.944
2CXO J181809.8-165212,17.974,15.513,14.007
2CXO J181809.9-165505,16.496,14.885,13.953
2CXO J181811.0-165351,16.006,14.372,13.768
2CXO J181812.8-165456,15.818,13.845,12.947
2CXO J181813.6-164640,14.982,14.07,13.743
2CXO J181814.3-165247,16.554000000000002,12.845999999999998,10.96
2CXO J181814.4-164839,18.399,17.215999999999998,14.858
2CXO J181814.5-164911,15.495,14.769,14.423
2CXO J181814.6-164745,15.882,13.747,12.491
2CXO J181815.3-164851,17.294,14.988,14.197
2CXO J181818.2-164649,16.87,15.13,12.652
2CXO J181818.4-165728,17.986,16.042,14.574000000000002
2CXO J181818.5-164634,14.951,13.52,12.681
2CXO J181818.7-165317,14.818,13.567,12.901
2CXO J181819.1-165850,15.547,13.825,12.826
2CXO J181819.9-165621,17.335,14.778,13.094
2CXO J181826.3-164558,14.977,13.503,12.534
2CXO J181830.8-165612,12.839,12.289,12.139
2CXO J181841.5-170333,9.493,9.411,9.435
2CXO J181934.5-153519,9.029,8.793,8.717
2CXO J182030.0-143423,15.41,13.245,11.746
2CXO J182047.6-160136,8.426,8.232999999999999,8.179
2CXO J182051.0-155658,8.696,8.357000000000001,8.229
2CXO J182053.0-142406,16.86,14.613,13.419
2CXO J182103.5-140942,8.516,8.29,8.197000000000001
2CXO J182104.3-155701,14.668,13.371,12.584
2CXO J182107.2-134500,12.383,11.767,11.755999999999998
2CXO J182201.6-144105,15.339,13.644,12.929
2CXO J182207.2-131336,8.978,8.607000000000001,8.485
2CXO J182307.2-143250,9.784,9.33,8.839
2CXO J182559.3-133756,13.19,12.737,12.575
2CXO J182627.7-133153,13.474,11.548,10.771
2CXO J182632.4-134306,14.121,12.022,11.168
2CXO J182836.7-125950,7.045,6.888,6.811
