name,g_mag,bp_mag,rp_mag
2CXO J020036.5+004549,18.719161,18.867687,17.812044
2CXO J020056.7+004149,15.874362,17.581203,14.611259
2CXO J020129.3+004623,19.310316,19.606108,18.839879999999997
2CXO J021429.2-051744,19.184366,19.683132,18.43427
2CXO J021817.1-050258,20.769983,20.979214000000002,20.330307
2CXO J021820.4-050426,19.768166,19.882445999999998,19.12025
2CXO J021822.1-050614,19.645138,17.198658,15.788788
2CXO J021827.1-045454,19.087753,19.205797,18.694637
2CXO J022353.6+421221,20.868795000000002,17.573420000000002,16.044
2CXO J022506.3-000335,20.06244,20.64128,19.445816
2CXO J022525.6-043509,20.888868,21.292967,20.484604
2CXO J022540.5-043822,19.917065,20.044914000000002,19.334854
2CXO J022557.5-045003,19.67827,19.858786,19.352747
2CXO J022633.2+614116,15.561257000000001,16.67819,14.450219
2CXO J022639.6+004330,20.778945999999998,20.748829999999998,20.271288000000002
2CXO J022655.2+002210,19.955054999999998,20.365791,19.55
