name,fuv_mag,nuv_mag
2CXO J171150.0+584041,,21.881
2CXO J171207.4+584754,18.477,18.196
2CXO J171228.1+583905,20.231,14.479
2CXO J171427.7+600302,,22.09
2CXO J171441.1+601342,,20.758000000000006
2CXO J171450.4+601409,,19.836
2CXO J171500.1+595611,20.616,19.514
2CXO J171513.8+594638,20.746,20.628
2CXO J171531.3+600220,21.878,21.786
2CXO J171650.9+600220,,21.461
2CXO J171705.5+601203,,21.679
2CXO J171831.7+595309,,21.396
2CXO J175944.9+662912,21.865,19.947
2CXO J213805.2+133953,21.358,20.233
2CXO J221512.1-005151,,22.404
2CXO J221627.0+001401,,22.337
2CXO J221640.1+001619,21.531,20.056
2CXO J221649.5+001510,21.803,15.18
2CXO J221814.3+002048,,21.489
2CXO J222202.2+195231,20.118,19.75
2CXO J224749.5+134248,20.815,19.813
2CXO J225215.7+132141,,20.934
2CXO J231821.0+002936,20.232,19.941
2CXO J231844.3+003013,17.633,14.035
2CXO J232159.0+000738,21.092,20.525
2CXO J232525.3+001140,20.066,19.71
2CXO J232546.5+001749,21.561,20.724
2CXO J232634.6+002150,21.707,21.127
2CXO J232646.5+002617,,21.766
2CXO J232710.7+001703,21.794,20.938
2CXO J232734.7+002234,,19.758
2CXO J232742.6+000654,20.473,19.871
2CXO J232801.4+001705,19.851,19.706
2CXO J232817.6+001946,20.836,20.426
2CXO J232820.3+002238,21.037,18.972
2CXO J232845.0+000401,21.913,21.446
2CXO J232845.6+000501,,20.362
2CXO J232853.3+002742,,21.723000000000006
2CXO J232951.4+000942,21.354,20.832
2CXO J233149.4+000718,19.736,19.2
2CXO J233314.5+000358,,22.104
2CXO J233315.8-000452,20.885,20.341
2CXO J233328.9-000308,21.268,21.324
2CXO J233706.3+002132,21.778,21.083
2CXO J233736.3+000951,21.407,19.822
2CXO J233853.8+004811,21.017,20.079
2CXO J234405.5-541225,19.836,13.772
2CXO J235232.1-001501,,19.795
2CXO J235321.6-002840,21.21,18.86
2CXO J235709.6+004626,,21.456
2CXO J235832.4-003240,20.516,19.216
2CXO J235833.2+003453,20.147,19.702
2CXO J235914.0-002038,21.585,20.907
2CXO J235942.1-345953,22.347,16.430999999999994
2CXO J235958.2+005140,20.562,20.387
2CXO J000009.3+135618,,20.356
2CXO J000021.0-250812,,20.666
2CXO J000026.1-250651,22.196,22.299
2CXO J000026.2+134604,20.786,19.931
2CXO J000031.8-245458,,22.234
2CXO J000100.2-250500,,22.641
2CXO J000102.4-245848,21.776,21.755
2CXO J000111.1-100155,21.909,22.079
2CXO J000122.6-250017,20.499,19.404
2CXO J000338.9+160220,20.409,19.715
2CXO J000535.2+000022,,20.783
2CXO J000654.1-001533,,20.555
2CXO J000749.0+511220,19.225,13.556
2CXO J000818.2+512316,12.19,13.178
2CXO J000833.8+512412,13.606,13.416
2CXO J001056.8-283942,,21.564
2CXO J001128.9+501653,19.776,14.781
2CXO J001247.1+001238,,20.758000000000006
2CXO J001317.4-000635,,21.786
2CXO J001504.3-005439,19.793,18.713
2CXO J001544.3-391208,,20.886
2CXO J001710.9-271435,,20.876
2CXO J002010.8+213252,20.443,19.535
2CXO J002034.6-705526,,21.299
2CXO J002101.0+005248,17.561,17.499000000000002
2CXO J002109.3+005732,,22.412
2CXO J002301.4-275238,21.506,20.528
2CXO J002507.3+682539,16.611,13.093
2CXO J002614.3+184613,19.4,19.01
2CXO J002637.4+165953,21.342,20.364
2CXO J002716.1-014646,17.637999999999995,16.641
2CXO J002733.7-013452,,21.637
2CXO J002752.4+002615,20.542,19.874
2CXO J003039.5+262056,18.311,17.755
2CXO J003047.8+261648,,22.215
2CXO J003058.2-275629,,20.489
2CXO J003103.8-280238,,22.25
2CXO J003131.4+003420,21.546,20.28
2CXO J003151.5+003233,,22.84
2CXO J003202.9+003751,21.484,20.344
2CXO J003413.0-010027,18.789,18.042
2CXO J003413.6-212618,15.979,15.328
2CXO J003425.3-010859,,19.898
2CXO J003443.8-005414,20.706,19.73
2CXO J003451.1-010111,,21.721
2CXO J003937.3-352917,19.705,18.962
2CXO J003942.6-352800,21.335,18.624
2CXO J004043.4-440852,21.911,22.177
2CXO J004243.4+851414,19.376,13.895
2CXO J004341.4+005610,21.411,20.171
2CXO J004342.7+004841,21.984,20.525
2CXO J004351.5+005501,22.358,21.049
2CXO J004446.5+330254,,16.314
2CXO J004455.7+144638,,21.328000000000007
2CXO J004524.7+144246,21.83,21.17
2CXO J004526.2+143643,21.483,20.267
2CXO J004527.6+143816,,21.1
2CXO J004610.3+010643,21.468000000000004,20.894
2CXO J004613.5+010425,21.8,20.437
2CXO J004637.6-420937,16.22,13.446
2CXO J004647.4-252150,21.246,20.516
2CXO J004756.7+851456,,19.229
