name,W1mag,W2mag,W3mag,W4mag
2CXO J052013.5-690939,14.502,14.492,9.65,8.093
2CXO J052132.4-483208,7.369,7.471,7.366,7.266
2CXO J052211.0-694552,8.277999999999999,8.323,8.511000000000001,8.703
2CXO J053242.6-704128,8.933,8.961,9.059,9.104
2CXO J053359.9-703128,15.99,14.752,12.63,9.085
2CXO J053401.7-054651,11.363,11.31,8.588,6.829
2CXO J053418.4-053400,10.845999999999998,10.861,8.329,4.395
2CXO J053429.3-063849,10.963,10.902,10.514,6.612
2CXO J053435.7-045349,11.275,11.025,6.744,4.37
2CXO J053438.7-063555,11.741,11.562,11.636,8.773
2CXO J053442.4-051219,8.625,8.486,7.096,4.668
2CXO J053444.9-051047,10.279000000000002,9.642,7.434,4.692
2CXO J053456.8-051132,9.132,8.752,5.563,3.072
2CXO J053457.8-044912,11.191,10.903,6.066,3.512
2CXO J053459.3-045012,9.892,9.578,4.739,2.085
2CXO J053500.7-044649,11.192,11.05,8.447000000000001,7.476
2CXO J053500.9-044819,10.880999999999998,10.407,7.518,4.595
2CXO J053502.6-044929,9.828,9.664,7.162000000000001,4.543
2CXO J053502.9-044832,11.499,11.12,7.0760000000000005,4.137
2CXO J053503.6-045053,8.639,7.991,4.688,2.1590000000000003
2CXO J053504.3-050812,7.085,7.085,6.635,4.416
