name,ok,ra,dec,offset,cat_ra,cat_dec,cat_name,catalog,our_class,mw_class,mw_subclass,mw_ref,sep
2CXO J192414.7+501519,1,291.06137660022966,50.25540973677231,0.09564193660412916,291.0614167,50.25541670000001,BD+49 2997                 ,SKIFF,STAR,STAR,A2,1952CoRut..32....1H,0.09564199999999999
2CXO J053500.2-052409,0,83.75091589508206,-5.402556649235027,0.09598611505340156,83.7509167,-5.4025833,[H97b] 5106                ,SKIFF,STAR,YSO,P,2012AJ....144..192M,0.103896
2CXO J053510.9-052448,0,83.79559909384699,-5.4134784407309295,0.096061835236267,83.7955833,-5.4135,[HC2000] 93                ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.24088
2CXO J104415.8-600309,1,161.06611266448738,-60.052704838920896,0.09709473890108596,161.066118,-60.052678,8030,SPICY,YSO,YSO,III,2011ApJS..194...14P,0.139079
2CXO J202144.3+372230,1,305.43476044347886,37.3751777916361,0.0979301530873646,305.4347917,37.3751667,[S66] 3                    ,SKIFF,STAR,STAR,,2001NewAR..45..135V,0.398949
2CXO J232322.7+585249,1,350.8446782033932,58.88052657943437,0.09805042363297048,350.8446667,58.8805,[B55b] 2557                ,SKIFF,STAR,STAR,A2,1955IzKry..14....3B,0.098049
2CXO J085137.8+115057,1,132.907733756762,11.849182901134872,0.09878356900351368,132.9077083,11.8491944,AH Cnc                     ,SKIFF,STAR,STAR,F5/7,1965VeBam..27...52M,0.098785
2CXO J053514.9-053639,0,83.81214781518038,-5.610876716036618,0.09920708633277273,83.812125,-5.6108611,[H97b] 466                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.23788
2CXO J051100.5-220154,1,77.75211014034056,-22.03192604670452,0.09968736467316157,77.7521,-22.0319,PKS 0508-22      ,VERONCAT,AGN,AGN,A,2010A&A...518A..10V,0.111265
2CXO J180730.2+455132,0,271.87607084605094,45.85907459079405,0.100068437591095,271.8760417,45.85905560000001,DQ Her                     ,SKIFF,STAR,CV,NA/DQ,2005JAD....11....2D,0.5692649999999999
2CXO J084136.3+130857,1,130.4012978839652,13.149227928304342,0.1008151746189419,130.4013,13.1492,Q 08388+133      ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.27620300000000003
2CXO J203348.8+411940,1,308.45346447149535,41.32793576115553,0.1009570053806604,308.4535,41.32794439999999,Schulte 71                 ,SKIFF,STAR,STAR,OB,1956ApJ...124..530S,0.100958
2CXO J102401.5-574557,1,156.0063110740089,-57.7658588307716,0.1013359553056881,156.00633330000005,-57.7658333,Westerlund 2 MSP 263       ,SKIFF,STAR,STAR,O6V,2007A&A...463..981R,0.101337
2CXO J233938.7-053305,0,354.91140146183443,-5.551438442058655,0.1014037067792464,354.91142199098994,-5.55141905348,PSR J2339-0533                     ,SIMBAD,PULSAR,LMXB,HE[rpp+20],2005AJ....129.1993M,0.151727
2CXO J053505.6-052922,0,83.77338876512181,-5.4895341802231865,0.102705619320624,83.7734167,-5.489527799999999,ESO-HA 1099                ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.10270599999999999
2CXO J044213.2+020438,1,70.55501471200905,2.0772244979575207,0.10285602404667438,70.555,2.0772,CXO J04422+0204  ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.053687
2CXO J053503.4-052332,0,83.76432542734784,-5.392416543207031,0.10417831458622494,83.7643333,-5.3924444000000005,[H97b] 233                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.270336
2CXO J042001.9-502248,1,65.00814601929483,-50.38005369996908,0.1049862356924778,65.008125,-50.3800278,PSR J0420-5022  ,ATNF,PULSAR,PULSAR,"XINS,NRAD",2005AJ....129.1993M,0.105057
2CXO J053512.5-052344,0,83.8024902223233,-5.395555627748959,0.10560409188152577,83.8025,-5.3955833,[H97b] 385                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.230638
2CXO J104314.2-591212,1,160.80939770100758,-59.2035400939281,0.10777690041872892,160.809395,-59.20356999999999,7879,SPICY,YSO,YSO,II,2011ApJS..194...14P,0.161071
2CXO J033941.1-354745,1,54.92156286177078,-35.79605241448355,0.10802936604818247,54.9215417,-35.7960278,CD-36 1389                 ,SKIFF,STAR,STAR,F8,1955AnCap..18.....J,0.108028
2CXO J085120.7+115326,1,132.83660113687048,11.890602588536966,0.10903432270539604,132.836625,11.890583300000001,NGC 2682 131               ,SKIFF,STAR,STAR,Fd_b,2020AJ....160..120J,0.115728
2CXO J203259.7+411419,1,308.24896197559406,41.23881603733248,0.10957885369415828,308.249,41.238805600000006,Schulte 40                 ,SKIFF,STAR,STAR,OB,1956ApJ...124..530S,0.109577
2CXO J053507.3-052548,0,83.78081659301716,-5.430053334929314,0.1097059095206766,83.7808333,-5.4300277999999995,[H97b] 303                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.305406
2CXO J002903.0+593419,1,7.262675154823513,59.571945139504955,0.1105751563866985,7.26271,59.57192,IGR J00291+5934         ,INTVARCAT     ,LMXB,LMXB,"T, P, R",2007A&A...469..807L,0.136484
2CXO J111518.5+531452,1,168.8274774471915,53.24782785548868,0.11142754275024508,168.8275,53.2478,SDSS J11153+5314 ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.185937
2CXO J171520.1+601313,1,258.83385932924364,60.220290354138356,0.11161962102482137,258.8338,60.2203,SPIT J17153+6013 ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.200476
2CXO J104359.8-593524,1,160.99935010124273,-59.59008251680656,0.11245853257541456,160.999375,-59.5901111,Cl* Trumpler 16 MJ 195     ,SKIFF,STAR,STAR,B1V,1993AJ....105..980M,0.11245799999999999
2CXO J065817.2-071235,0,104.57204168542557,-7.209809394348537,0.11373966664908113,104.5720417,-7.209777799999999,[M81] I- 33                ,SKIFF,STAR,HMXB,"T, P, C",2006A&A...455.1165L,0.149256
2CXO J053503.6-052245,0,83.76539687136813,-5.379336358114898,0.11394895260535955,83.7654167,-5.3793611,[H97b] 5100                ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.131574
2CXO J004446.5+330254,1,11.194047821714491,33.04845565473516,0.11446823680979056,11.1940833,33.048444399999994,3U 0042+32 20              ,SKIFF,STAR,STAR,F9/G5,1978MNRAS.183p..29C,0.114468
2CXO J141249.0-402136,0,213.204541615818,-40.36019750376092,0.11470428498624595,213.2045,-40.3601944,SOPS IVa-181               ,SKIFF,STAR,CV,VY,2005JAD....11....2D,0.12136
2CXO J095831.6+022217,1,149.63167859157932,2.371423624082454,0.11472839500472642,149.6317,2.3714,COSM J09585+0222 ,VERONCAT,AGN,AGN,A,2010A&A...518A..10V,0.131435
2CXO J155058.6-562835,0,237.74446229924862,-56.47643307780407,0.1156696523287712,237.74443246695998,-56.4764606625,V* V381 Nor                        ,simbad,HMXB,LMXB,"T, M, R",2007A&A...469..807L,0.917283
2CXO J120913.6+433920,1,182.30670299102349,43.65583289106071,0.11866381962189865,182.3067,43.6558,3C 268.4         ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.09374299999999999
2CXO J054707.2+001932,0,86.78022434110875,0.3256323300090406,0.11988976822290158,86.78025,0.3256111,RJHA 21                    ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.208848
2CXO J123111.3-141143,0,187.79709614494288,-14.195533493494274,0.12132490734065815,187.7971,-14.1955,J1231-1411,FERMI,PULSAR,LMXB,HE,2005AJ....129.1993M,0.325751
2CXO J133143.3+111132,1,202.93065958271117,11.192338615439882,0.12148421583867662,202.9306667,11.1923056,AG+11 1508                 ,SKIFF,STAR,STAR,K0,1958PMcCO..13b....V,0.12148199999999999
