recno|MIRES|RAJ2000|DEJ2000
     518|G206.8795-16.4192|085.52739|-02.22806
     519|G206.6195-16.2875|085.52801|-01.94601
     520|G206.4261-16.1891|085.52864|-01.73580
     521|G206.5801-16.2663|085.52918|-01.90269
     522|G206.1941-16.0696|085.53030|-01.48298
     523|G206.5798-16.2644|085.53072|-01.90147
     524|G206.5726-16.2604|085.53109|-01.89353
     525|G206.4746-16.2071|085.53439|-01.78539
     526|G206.5343-16.2372|085.53446|-01.85014
     527|G206.5869-16.2613|085.53664|-01.90611
     528|G206.1368-16.0325|085.53735|-01.41695
     529|G206.6763-16.3027|085.53997|-02.00128
     530|G206.5642-16.2396|085.54576|-01.87670
     531|G206.5046-16.2084|085.54668|-01.81156
     532|G206.5598-16.2316|085.55088|-01.86926
     533|G207.0198-16.4616|085.55234|-02.36697
     534|G206.5703-16.2330|085.55426|-01.87879
     535|G206.6603-16.2776|085.55501|-01.97604
     536|G206.5037-16.1986|085.55501|-01.80620
     537|G206.5105-16.2016|085.55535|-01.81334
     538|G206.3997-16.1434|085.55722|-01.69215
     539|G206.3267-16.1039|085.55947|-01.61165
     540|G207.0058-16.4404|085.56489|-02.34522
     541|G206.2690-16.0664|085.56676|-01.54506
     542|G207.2775-16.5689|085.57159|-02.63562
     543|G206.6531-16.2542|085.57255|-01.95909
     544|G206.5275-16.1907|085.57260|-01.82276
     545|G206.0134-15.9270|085.57510|-01.26275
     546|G206.5285-16.1875|085.57593|-01.82212
     547|G206.5264-16.1811|085.58063|-01.81728
     548|G206.9362-16.3870|085.58127|-02.26134
     549|G206.5249-16.1793|085.58152|-01.81520
     550|G207.2404-16.5379|085.58268|-02.58973
     551|G206.1404-15.9829|085.58280|-01.39683
     552|G206.6859-16.2527|085.58855|-01.98623
     553|G206.7535-16.2866|085.58868|-02.05945
     554|G206.0660-15.9353|085.59147|-01.31131
     555|G206.2642-16.0333|085.59388|-01.52558
