id,ra,dec,pos_err
lid_1236,149.988939,1.509012,0.461
lid_1237,149.993081,1.491525,0.233
lid_1238,149.994648,1.508509,0.673
lid_1239,150.00072,1.540966,0.389
lid_1240,150.002708,1.454817,0.652
lid_1241,150.008772,1.460729,0.696
lid_1242,150.018905,1.509103,0.245
lid_1243,150.022633,1.587687,0.499
lid_1244,150.022869,1.586053,0.475
lid_1245,150.023268,1.533968,0.171
lid_1246,150.025105,1.572068,0.262
lid_1247,150.026401,1.523114,0.163
lid_1248,150.03402,1.551828,0.1
lid_1249,150.037888,1.595871,0.215
lid_1250,150.038197,1.536641,0.188
lid_1251,150.039643,1.615289,0.558
lid_1252,150.057188,1.509676,0.1
lid_1253,150.064097,1.529702,0.1
lid_1254,150.064578,1.514512,0.158
lid_1255,149.899785,1.67908,0.863
lid_1256,150.069745,1.582603,0.173
lid_1257,150.079593,1.449815,0.115
lid_1258,150.085154,1.457857,0.725
lid_1259,150.109539,1.449657,0.629
lid_126,150.445663,2.413563,0.642
lid_1260,149.904161,1.709681,0.246
lid_2193,149.81711,2.679305,0.703
lid_2194,149.839924,2.688788,0.611
lid_2197,149.905757,3.029808,1.731
lid_2198,149.939289,3.023466,2.045
lid_1792,150.753134,2.34439,0.222
lid_1793,150.755437,2.32603,0.314
lid_1794,150.772831,2.318764,0.12
lid_1795,150.788802,2.332497,0.22
lid_1796,150.78838,2.343903,0.178
lid_1797,150.795035,2.388327,0.895
lid_1798,150.819543,2.406152,1.036
lid_1799,150.821891,2.287963,0.502
lid_180,150.349245,2.675205,0.283
lid_1800,150.823177,2.268861,0.303
lid_1801,150.840598,2.374653,0.562
lid_1802,149.672232,2.624491,0.583
lid_1803,149.67244,2.629064,0.843
lid_1804,149.676207,2.614245,0.475
lid_1805,149.681328,2.68097,0.736
lid_1806,149.681611,2.652114,1.053
lid_1807,149.694663,2.653182,0.186
lid_1808,149.695904,2.603257,0.668
