|        id_x|         ra|        dec| pos_err|
|        char|     double|     double|  double|
|            |           |           |  arcsec|
|        null|       null|       null|    null|
      lid_402  150.482143    2.766359    0.222 
     lid_4027  150.522082    2.526546    0.408 
      lid_403  150.483551    2.829290    0.277 
     lid_4030  150.373769    2.465413    0.384 
     lid_4033  150.408872    2.509424    0.378 
     lid_4036  150.429264    2.556421    0.611 
     lid_4039  150.452921    2.551748    0.328 
      lid_404  150.486767    2.886815    0.447 
     lid_4042  150.237940    2.581008    1.121 
      lid_405  150.490736    2.775330    0.100 
     lid_4053  150.190564    2.653626    0.176 
     lid_4059  150.237489    2.637180    1.517 
      lid_406  150.492963    2.792976    0.152 
      lid_407  150.497548    2.916786    0.756 
     lid_4077  149.920635    2.662707    1.271 
     lid_4078  149.953147    2.718940    0.650 
      lid_408  150.500158    2.892805    0.303 
     lid_4086  150.814568    2.433407    2.878 
      lid_409  150.511478    2.850691    0.174 
     lid_4090  150.789385    2.622295    0.673 
      lid_410  150.514404    2.810045    0.194 
     lid_4103  150.479692    2.627938    0.472 
     lid_4109  150.234443    2.635830    1.384 
      lid_411  150.530439    2.843878    0.159 
     lid_4112  150.394355    2.717842    0.341 
      lid_412  150.538576    2.855335    0.204 
     lid_4124  149.979802    2.751354    1.416 
     lid_4129  150.083940    2.724185    0.690 
      lid_413  150.544676    2.894740    1.143 
     lid_4138  150.196371    2.923116    1.583 
      lid_414  150.577033    2.767717    0.448 
     lid_4141  149.930596    2.957826    1.245 
     lid_4148  150.058298    2.938208    1.241 
      lid_415  150.298077    2.878820    0.771 
     lid_4150  150.431451    2.816424    0.875 
      lid_416  150.312656    2.961889    0.746 
      lid_417  150.313783    2.803569    0.186 
     lid_4170  150.343535    2.748543    0.443 
      lid_418  150.326471    2.855596    0.406 
     lid_4182  150.427868    2.814879    0.393 
     lid_4188  150.501717    2.840888    0.627 
      lid_419  150.349631    2.943744    0.601 
      lid_420  150.350404    2.826868    0.181 
      lid_421  150.361844    2.779134    0.413 
     lid_4213  150.508452    2.667152    0.432 
      lid_422  150.366571    2.789342    0.283 
      lid_423  150.367309    2.872722    0.149 
     lid_4232  150.657263    2.742184    0.310 
     lid_4235  150.680326    2.820795    0.818 
      lid_424  150.374561    2.952495    0.822 
     lid_4240  150.713297    2.713649    1.137 
     lid_2883  150.725179    1.743532    0.492 
     lid_2885  150.754385    1.698728    1.137 
     lid_2886  150.767215    1.603740    2.650 
     lid_2887  150.817685    1.706564    1.759 
     lid_2888  150.819451    1.659677    2.547 
     lid_2889  150.753266    1.795526    0.630 
      lid_289  150.490660    2.634513    0.119 
     lid_2890  150.792985    1.704413    1.532 
     lid_2891  150.807603    1.870674    0.639 
     lid_2892  150.865429    1.816136    1.533 
     lid_2893  150.652711    1.957892    0.646 
     lid_2894  150.736496    2.031358    0.584 
     lid_2895  150.813894    1.968071    0.225 
     lid_2896  150.817574    1.985607    0.300 
     lid_2897  150.826881    1.868484    1.084 
     lid_2898  150.835850    1.905509    0.820 
     lid_2899  150.843844    1.881325    1.612 
      lid_290  150.491101    2.700155    0.100 
     lid_2900  150.858383    2.079220    1.459 
     lid_2901  150.860804    1.913820    1.231 
     lid_2902  150.892659    1.892991    2.070 
      lid_291  150.497688    2.659722    0.100 
     lid_2913  150.593763    2.456998    1.260 
     lid_2914  150.656283    2.370227    0.336 
     lid_2915  150.698294    2.445017    0.183 
     lid_2917  150.597099    2.433114    1.227 
     lid_2918  150.672094    2.445032    0.349 
     lid_2919  150.682899    2.395034    0.467 
     cid_1770  150.601767    2.288466    0.428 
     cid_1771  150.608582    2.343228    0.293 
     cid_1779  150.297690    2.375366    1.240 
      cid_178  149.585194    2.051086    0.266 
     cid_1781  150.308050    2.402437    0.893 
     cid_1786  150.329640    2.350918    1.102 
     cid_1787  150.333550    2.578820    0.339 
      cid_179  149.586558    2.037095    0.100 
     cid_1790  150.342219    2.466093    0.575 
     cid_1798  150.368165    2.531181    0.392 
      cid_180  149.594774    2.053822    0.686 
     cid_1800  150.375361    2.571343    0.402 
     cid_1801  150.376492    2.459647    0.313 
     cid_1803  150.377190    2.412129    0.349 
     cid_1804  150.377520    2.424521    0.133 
      cid_181  149.595847    2.040662    0.274 
     cid_1810  150.397418    2.506390    0.665 
     cid_1811  150.401811    2.445182    0.138 
     cid_1818  150.414170    2.364696    0.758 
      cid_182  149.597866    2.071122    0.502 
     cid_1827  150.435932    2.446834    0.446 
      cid_183  149.605133    2.052157    0.485 
     cid_1831  150.455481    2.431071    0.557 
     cid_1836  150.479131    2.404511    0.740 
      cid_184  149.607310    2.017457    0.375 
      cid_185  149.620378    2.039422    0.453 
      cid_186  149.628114    2.040183    0.433 
     cid_1868  150.256873    2.595091    0.449 
      cid_187  149.639396    2.003159    0.101 
     cid_1870  150.265763    2.514294    0.476 
     cid_1871  150.267539    2.552040    0.375 
     cid_1873  150.270680    2.417152    0.514 
     cid_1874  150.271569    2.490749    0.258 
     cid_1877  150.283709    2.494530    0.464 
