name,catalog,cat_name,significance,var_flag
2CXO J161156.2+451611,VERONCAT,SDSS J16119+4516 ,7.107792179209571,1
2CXO J100129.6+545438,VERONCAT,MARK  132        ,7.107625686649139,0
2CXO J141434.5+293428,VERONCAT,RXS J14145+2934  ,7.1058750168765314,0
2CXO J212511.1-072007,VERONCAT,SDSS J21251-0720 ,7.103191879892617,0
2CXO J042155.0+324725,VERONCAT,CXOPS J04219+3247,7.101949394528779,0
2CXO J095746.1+015712,VERONCAT,SDSS J09577+0157 ,7.099916784699359,0
2CXO J095845.0+014845,VERONCAT,COSM J09587+0148 ,7.0850113067874005,0
2CXO J104408.1+585926,VERONCAT,CLANS J10441+5859,7.084271891455815,0
2CXO J233023.4+000811,VERONCAT,SDSS J23303+0008 ,7.076334342501919,0
2CXO J122641.4-002005,VERONCAT,SDSS J12266-0020 ,7.073262441828401,0
2CXO J100305.0+015156,VERONCAT,COSM J10030+0151 ,7.066440323211994,0
2CXO J133808.9+292413,VERONCAT,CXO J13381+2924  ,7.059778611780348,0
2CXO J172314.1+654746,VERONCAT,HS 1723+6550     ,7.0549386278170685,0
2CXO J082020.1+364004,VERONCAT,FIRST J08203+3640,7.051714929440662,0
2CXO J235715.8+004851,VERONCAT,SDSS J23572+0048 ,7.041181805477687,1
2CXO J095810.8+014004,VERONCAT,2QZ J095810+0140 ,7.039873095478245,0
2CXO J033214.4-275111,VERONCAT,CDFS J03322-2751B,7.039605460339372,1
2CXO J093759.4+542426,VERONCAT,SDSS J09379+5424 ,7.031571181827247,0
2CXO J210748.2-062154,VERONCAT,SDSS J21078-0621 ,7.030700302240247,0
2CXO J134133.1+353252,VERONCAT,FIRST J13415+3532,7.013380708765543,0
2CXO J152135.1+074835,VERONCAT,CXO J15215+0748  ,7.006499364370935,0
2CXO J091342.4+372603,VERONCAT,SDSS J09137+3726 ,6.999457500567756,0
2CXO J232207.1+194423,VERONCAT,PSS J2322+1944   ,6.998508932017298,0
2CXO J161751.9-001957,VERONCAT,SDSS J16178-0019 ,6.99716024636402,0
2CXO J023250.1-364624,VERONCAT,HE 0230-3659     ,6.992584752809164,0
2CXO J124246.0+122405,VERONCAT,SDSS J12427+1224 ,6.987835406651702,0
